file,assetId
rebellion,9806070
lower_the_visor,9300330
slash_of_clarent,9306500
rebels_double_edge,9302990
onslaught_of_hatred,9300290
sparks_of_the_helm,9300320
loudmouths_taunt,9402320
spoils_of_camelot,9402910
tribute_to_the_throne,9302530
mana_ignition,9400870
battle_instinct,9400090
residual_lightning,9300610
insolent_strike,9302850
war_cry,9300740
insolent_guard,9400640
tournament_footwork,9404510
proud_greatsword,9406620
defiance_of_authority,9301250
lightning_splinters,9407410
ride_the_stolen,9805530
knights_steadfastness,9300980
dont_call_me_a_girl,9301850
mana_burst_a,9400400
knight_of_red_lightning_a_plus,9400660
instinct_b,9300750
cigarette_lion_b_plus,9407760
secret_of_pedigree_e_x,9304250
lightning_of_clarent,9408620
storm_of_steel,9408720
defiant_cut,9403210
reckless_charge,9806210
lightning_speed,9303600
dented_helm,9300650
roar_of_rebellion,9301260
lightning_visit,9404710
rude_kick,9806950
plunder_of_the_royal_hoard,9303650
chained_lightning,9405160
dragons_blood,9407140
accumulated_hatred,9307130
banner_of_rebellion,9405560
demanded_duel,9303780
fathers_sword,9306410
royal_tantrum,9406480
tournament_guard,9303550
ill_repaid_loyalty,9806610
homunculus_acceleration,9406950
double_rebellion,9304490
scorn_for_the_throne,9300020
treat_me_as_a_knight,9808480
clarent_blood_arthur_manual,9401700
mana_burst_red_lightning,9400260
beheading_of_the_usurper,9309010
hundred_shattered_swords,9303640
avalanche_of_hatred,9301650
camlann,9306450
crimson_lightning_climax_power,9403470
secret_revealed,9303440
crown_of_lightning,9300010
ambition_for_the_throne,9404240
the_most_radiant_sword,9304410
kairis_command_seal,9400380
claim_caliburn,9401310
feast_after_battle,9304340
storm_of_camelot,9405140
coup_d_etat,9303840
saberface,9310900
denied_inheritance,9300120
double_edge_of_hatred,9406270
memory_of_trifas,9301790
clarent_blood_arthur_unleashed,9307770
clarent_blood_arthur_interlude,9808850
