file,assetId
shukuchi,9806210
catch_your_breath,9402070
battle_breath,9407060
battojutsu,9401650
crimson_kerchief,9806910
double_thrust,9308070
eyes_on_the_tip,9407050
feint,9407770
i_dont_shoot_beams,9400060
ikedaya_cut,9403190
kiai,9400090
one_day_bloom,9403970
petal_rain,9403730
prodigys_glare,9405590
reprimand,9403320
rising_cut,9403210
sakura_slash,9403250
seigan_guard,9307120
sheathe,9304470
shukuchi_step,9404500
third_stance,9300420
unsheathe,9304420
bitter_medicine,9806240
blade_dance,9405600
blinding_speed,9303600
breather,9300930
breather_lite,9806100
captains_onslaught,9300740
cross_cut,9302530
defensive_fencing,9302860
duelists_instinct,9303780
glinting_edge,9404830
kiku_ichimonji,9300940
late_bloom,9307290
magic_resistance_e,9401160
minds_eye_fake,9404010
perfect_slash,9302740
prodigys_sense,9303640
pursuit,9307030
riding_e,9300610
scent_of_sakura,9403800
shinsengumi_sweep,9408870
shinsengumi_will,9301650
shukuchi_b_plus,9400720
sickly_constitution,9407280
steady_step,9300380
thousand_thrusts,9301630
three_step_dash,9307860
untimely_cough,9407080
zettou_a,9301670
bakumatsu_flower,9408050
bakumatsu_spirit,9806150
cherry_in_full_bloom,9405170
clear_mind,9403360
duel_in_the_snow,9302390
event_saturation,9402420
final_promise,9304750
first_unit_charge,9400620
five_flashes,9308780
genius_cut,9308190
infinite_instant,9302810
last_spring_memory,9303530
makoto,9401920
mumyou_first_thrust,9306940
mumyou_manual,9309560
sakura_fubuki,9404620
sword_genius,9408540
tennen_rishin_breath,9406820
to_the_end,9303760
veil_of_petals,9406770
mumyou_unleashed,9802700
tos,9406270
