file,assetId
strike_artoria,CHARA:504500a@2
defend_artoria,9402840
summer_outburst,CHARA:704700a@1
song_of_prophecy,CHARA:504500a@1
caliburn_projection,9401620
sacred_sword_slash,9300940
staff_strike,9307040
summer_onslaught,9408750
familiar_rain,9808730
critical_spark,9408790
sword_and_song,9402790
staffs_rebuke,9805720
meadow_thrust,9404730
summer_shark,9310470
travelers_prayer,9302990
forge_stars,9404830
lakes_blessing,9404550
light_shield,9300250
faerie_chant,9808690
faerie_gaze,9401160
pilgrims_step,9403140
travelers_cloak,9310590
summer_hydromancy,9405820
festival_rehearsal,9303950
lets_try_it,9808770
around_caliburn_unleashed,CHARA:504500b@2
hope_will_camelot_unleashed,CHARA:704700b@1
selection_sword_cut,9304570
summoned_swords,9806000
owls_fang,9405300
summer_dance,9306530
stars_judgment,9300010
reckless_charge,9307860
counter_blade,9401650
shooting_star,9304400
festival_tide,9808880
summer_double_slash,9408880
charisma_of_hope,9300450
lakes_protection,9406540
sword_of_selection,9408540
springs_pulse,CHARA:704700a@2
summer_faerie,9808870
faerie_aegis,9305580
white_hare_trick,9300530
summer_escapade,9305700
star_tide,9306240
staffs_voice,9300150
forced_vacation,9407260
detective_pose,CHARA:704700a@1
clear_the_storm,9408720
sacred_sword_control,9302530
territory_creation,9307920
unique_magecraft,9407670
midsummer_madness,9401550
faerie_eyes,9308490
festival_spirit,9402530
summer_rivalry,9402600
hope_will_camelot,CHARA:704700b@1
around_caliburn,9403270
caliburn_star,CHARA:504500a@1
summer_comet,9407410
inherited_longing_strike,9401600
guardians_execution,9309010
sacred_sword_avalanche,9403210
six_sword_strikes,9302740
avalon_core,9301550
selection_staff_guide,9308870
avalon_veil,9404980
tears_behind_the_smile,9306510
faerie_chorus,9401180
festival_secret_plan,9408220
promise_under_the_storm,9405120
avalon_consecration,CHARA:704700b@2
avalon_benediction,9808560
two_faces_of_summer,CHARA:704700a@1
sword_instinct,9308780
guardians_counter,9402110
spell_reloading,9401200
