file,assetId,cropX,cropY
defender,9805510,0.50,0.28
paladins_hunch,9305750,0.50,0.25
choose_quick_caprice,9805520,0.50,0.26
choose_arts_caprice,9308370,0.50,0.24
choose_buster_caprice,9403170,0.50,0.26
hippogriff,9300860,0.50,0.25
unexpected_gallop,9300860,0.50,0.27
lance_pirouette,9403170,0.50,0.26
unbridled_charge,9300860,0.50,0.26
argalia_point,9403170,0.50,0.25
cavalry_sword,9403170,0.50,0.27
hippogriff_dive,9300860,0.50,0.23
good_spirits_lance,9305750,0.50,0.25
cutting_feather,9805520,0.50,0.27
change_direction,9305750,0.50,0.26
forgot_the_plan,9308370,0.50,0.25
improvised_defense,9805510,0.50,0.27
abrupt_maneuver,9305750,0.50,0.26
wings_as_shield,9805510,0.50,0.27
soft_landing,9300860,0.50,0.28
shared_surprise,9305750,0.50,0.25
stars_on_the_road,9805520,0.50,0.26
shortcut_to_the_sky,9300860,0.50,0.25
nothing_happened,9305750,0.50,0.25
trifas_step,9403170,0.50,0.26
horn_call,9403170,0.50,0.25
evaporated_reason_d,9308370,0.50,0.25
choose_without_thinking,9305750,0.50,0.25
changing_caprice,9305750,0.50,0.26
first_thing_that_looks_fun,9305750,0.50,0.24
paladins_instinct,9403170,0.50,0.26
best_route_maybe,9305750,0.50,0.25
no_secrets,9308370,0.50,0.25
contagious_good_humor,9305750,0.50,0.25
riding_a_plus,9300860,0.50,0.25
independent_action_b,9805520,0.50,0.26
triple_quick,9805520,0.50,0.25
feather_dance,9805520,0.50,0.25
zigzag_charge,9300860,0.50,0.27
luck_a_plus,9305750,0.50,0.25
irresistible_impulse,9300860,0.50,0.26
unstable_takeoff,9300860,0.50,0.25
dimensional_leap,9300860,0.50,0.24
impossible_existence,9300860,0.50,0.24
wings_over_the_group,9300860,0.50,0.25
dive_from_another_world,9300860,0.50,0.24
reappearance,9300860,0.50,0.25
touch_and_knock_down_d,9403170,0.50,0.25
luna_break_manual,9308370,0.50,0.25
pages_to_the_wind,9308370,0.50,0.25
black_luna,9308370,0.50,0.24
homunculus_rescue,9403170,0.50,0.26
shared_adventure,9403170,0.50,0.25
different_adventure_every_time,9305750,0.50,0.24
evaporated_reason_d_plus,9308370,0.50,0.24
perfect_improvisation,9305750,0.50,0.24
three_caprices_one_adventure,9305750,0.50,0.24
optimal_path,9305750,0.50,0.25
moonless_night,9308370,0.50,0.24
lucky_hit,9805520,0.50,0.25
stars_i_do_not_need,9805520,0.50,0.25
gallop_at_full_speed,9300860,0.50,0.24
faster_than_an_arrow,9300860,0.50,0.24
leap_between_dimensions,9300860,0.50,0.23
world_reverse,9300860,0.50,0.24
i_was_not_there,9308370,0.50,0.24
hippogriff_up,9300860,0.50,0.23
crash_from_the_impossible,9300860,0.50,0.24
trap_of_argalia,9403170,0.50,0.24
casseur_de_logistille,9308370,0.50,0.24
black_luna_panic_call,9308370,0.50,0.24
borrowed_akhilleus_kosmos,9805510,0.50,0.25
good_deeds_without_thinking,9305750,0.50,0.24
adventure_continues,9305750,0.50,0.24
choose_adventure_np,9300860,0.50,0.24
choose_adventure_stars,9805520,0.50,0.25
choose_adventure_caprice,9305750,0.50,0.24
