file,assetId,cropX,cropY
buster,CHARA:303800b@1,0.50,0.22
arts,CHARA:303800a@2,0.50,0.22
quick,CHARA:303800a@1,0.50,0.24
defender,9406220,0.50,0.25
fortune_is_in_heaven,9807200,0.50,0.25
incarnation_of_bishamonten,9303770,0.50,0.22
biten_hassou_kuruma_gakari_no_jin,CHARA:303800b@2,0.50,0.20
biten_hassou_shiranui,9303770,0.50,0.21
celestial_thrust,9302490,0.50,0.24
field_reading,9406220,0.50,0.25
prayer_to_bishamonten,9807200,0.50,0.24
turn_the_reins,9406230,0.50,0.26
battle_order,9406220,0.50,0.25
generals_counsel,CHARA:303800a@2,0.50,0.22
commanders_staff,CHARA:303800a@1,0.50,0.23
armour_is_in_the_chest,9406220,0.50,0.26
drink_among_bullets,9809140,0.50,0.25
kasugayama_guard,9406220,0.50,0.25
six_plate_cuirass,9300740,0.50,0.25
interpose_the_spear,9302490,0.50,0.25
salt_for_the_rival,9809140,0.50,0.25
closed_formation,9300740,0.50,0.25
eight_petal_spear,9302900,0.50,0.24
houshoutsukige_charge,9406230,0.50,0.25
step_of_victory,CHARA:303800a@1,0.50,0.23
turn_the_formation,9406230,0.50,0.25
naginata_sweep,9302900,0.50,0.24
alternating_attack,CHARA:303800b@1,0.50,0.22
wheel_strategy,9406220,0.50,0.24
four_heavenly_strikes,9302490,0.50,0.24
prepare_the_cavalry,9406230,0.50,0.25
magical_charge,9807200,0.50,0.24
formation_relay,9406220,0.50,0.25
commanders_gaze,CHARA:303800a@2,0.50,0.22
vanguard_mandate,9406230,0.50,0.25
heavens_focus,9807200,0.50,0.23
armour_in_the_chest_a,9300740,0.50,0.25
bullet_curtain,9408870,0.50,0.24
rulers_defense,9406220,0.50,0.25
serene_counterattack,CHARA:303800a@1,0.50,0.23
fearless_chest,9300740,0.50,0.25
treasure_in_the_heart_b,9807380,0.50,0.23
shared_guard,9406230,0.50,0.25
wall_of_banners,9406230,0.50,0.25
just_path,9304340,0.50,0.25
merit_is_in_the_feet_a,CHARA:303800b@1,0.50,0.22
houshoutsukige_gallop,9406230,0.50,0.25
eight_weapons_one_warrior,9302900,0.50,0.24
spinning_naginata,9302490,0.50,0.24
relentless_pursuit,9300740,0.50,0.25
alternating_assault,CHARA:303800b@2,0.50,0.21
retreat_is_hell,9809520,0.50,0.25
riding_c,9406230,0.50,0.25
army_footsteps,9406230,0.50,0.25
generals_doctrine,9406220,0.50,0.24
divinity_c_to_a,9303770,0.50,0.22
white_flame_a,9807200,0.50,0.24
jeweled_pagoda_c,9807380,0.50,0.23
eight_formations_of_bishamonten,9303770,0.50,0.22
wisdom_of_eighty_four_thousand_teachings,9807200,0.50,0.24
vow_of_bishamonten,9303770,0.50,0.22
white_flame_cold_and_burning,CHARA:303800b@2,0.50,0.21
two_ruler_evasions,CHARA:303800a@1,0.50,0.23
treasure_is_in_the_heart,9807380,0.50,0.23
send_salt_to_the_enemy,9809140,0.50,0.25
walls_of_kasugayama,9406220,0.50,0.25
field_judge,CHARA:303800a@2,0.50,0.22
sip_at_the_center_of_the_army,9809140,0.50,0.25
biten_wheel_formation,9302900,0.50,0.24
shiranui_blade,CHARA:303800b@1,0.50,0.22
full_houshoutsukige_gallop,9406230,0.50,0.25
kawanakajima,9304340,0.50,0.25
eight_weapons_unleashed,CHARA:303800b@2,0.50,0.21
victory_is_in_the_feet,CHARA:303800b@1,0.50,0.22
fortune_armour_and_merit_a,9303770,0.50,0.22
manifestation_of_bishamonten,9807200,0.50,0.24
choose_heaven,9807200,0.50,0.24
choose_chest,9406220,0.50,0.25
choose_feet,9406230,0.50,0.25
