file,assetId,cropX,cropY
defender,CHARA:504000a@1,0.50,0.24
fruity_wine_aroma,9301180,0.50,0.23
senji_banko_shinpen_kidoku,CHARA:602100b@2,0.50,0.20
goho_shojo_kuzuryu_osatsu,CHARA:504000b@2,0.50,0.20
poisoned_needle,CHARA:602100a@1,0.45,0.22
oni_claw,CHARA:602100b@1,0.55,0.24
intoxicating_breath,9805800,0.50,0.22
banquet_gaze,9301180,0.48,0.17
pavilion_mist,CHARA:602100a@2,0.48,0.21
spilled_wine,9805800,0.48,0.31
presence_less_step,CHARA:602100a@1,0.42,0.20
midnight_cup,9301180,0.52,0.27
dangerous_gift,9805800,0.55,0.18
red_invitation,CHARA:602100b@2,0.55,0.22
goho_club,CHARA:504000a@1,0.52,0.23
corrective_kick,CHARA:504000b@1,0.48,0.26
magic_lesson,9303410,0.50,0.20
haku_guard,CHARA:504000a@2,0.45,0.23
white_amulet,9807050,0.48,0.20
goho_sweep,CHARA:504000b@2,0.55,0.23
viscera_grip,CHARA:602100b@1,0.48,0.27
guard_drink,9301180,0.48,0.29
mount_ooe_recipe,9301180,0.52,0.24
brew_mount_ooe_sake,9805800,0.50,0.27
distill_mount_ooe_poison,CHARA:602100a@2,0.52,0.25
shared_toast,9301180,0.50,0.21
fruity_wine_aroma_a_plus,9805800,0.50,0.20
seven_color_poison,CHARA:602100b@2,0.48,0.25
presence_concealment_c,CHARA:602100a@1,0.45,0.20
oni_species_magic_a,CHARA:602100b@1,0.52,0.22
headless_oni,CHARA:602100b@2,0.55,0.24
invitation_to_perdition,9805800,0.45,0.18
poisoned_table,9301180,0.52,0.30
antiquities_collection,9303410,0.50,0.26
bone_collector,CHARA:602100b@1,0.48,0.28
false_sweetness,9805800,0.52,0.22
mount_ooe_haze,CHARA:602100a@2,0.50,0.20
demonic_whisper,CHARA:602100a@1,0.52,0.20
last_drop,9301180,0.50,0.32
daughter_of_the_dragon_god,CHARA:602100b@2,0.50,0.22
goho_oni_mortal_grip_a_plus,CHARA:504000b@2,0.50,0.23
slaughter_club_b,CHARA:602100b@1,0.55,0.24
arts_buster_reinforcement,CHARA:504000a@1,0.48,0.21
oni_magic_protection_a,CHARA:504000a@2,0.52,0.23
accurate_strike,CHARA:602100a@1,0.50,0.25
white_familiar_guard,9807050,0.52,0.22
demon_slaying_blow,CHARA:504000b@1,0.50,0.24
magical_girl_steps,CHARA:504000a@1,0.45,0.20
oni_reprimand,CHARA:504000b@2,0.55,0.25
haku_warning,9807050,0.48,0.19
cauldron_sweep,9303410,0.52,0.25
goho_lesson,CHARA:504000a@2,0.48,0.22
break_divine_protection,CHARA:504000b@1,0.53,0.24
battle_continuation_a_plus,CHARA:602100b@1,0.48,0.22
shinpen_kidoku,9301180,0.50,0.20
thousand_purples_ten_thousand_reds,CHARA:602100b@2,0.50,0.18
mount_ooe_banquet,9301180,0.50,0.25
fruity_aroma_ex,9805800,0.50,0.20
severed_head,CHARA:602100b@1,0.50,0.29
poisoned_banquet,9301180,0.54,0.28
voice_that_melts_reason,CHARA:602100a@2,0.48,0.18
orochi_blood,CHARA:602100b@2,0.52,0.24
head_dance,CHARA:602100a@1,0.55,0.26
last_service,9805800,0.48,0.28
extreme_speed_beating,CHARA:504000b@1,0.48,0.25
haku_white_familiar,9807050,0.50,0.20
goho_oni,CHARA:504000b@2,0.52,0.22
nine_heads_of_the_dragon,CHARA:504000b@2,0.48,0.18
distill_the_poison,CHARA:602100b@2,0.48,0.25
magical_girl_at_full_power,CHARA:504000a@2,0.50,0.18
unleashed_goho_club,CHARA:504000b@1,0.55,0.21
oni_salvation,9303410,0.50,0.20
one_saint_graph_two_outfits,CHARA:504000a@1,0.50,0.20
banquet_never_ends,9301180,0.50,0.22
choose_antiquity_np,9303410,0.45,0.20
choose_antiquity_sake,9301180,0.50,0.24
choose_antiquity_stars,9807050,0.55,0.20
