file,assetId,officialName,cropX,cropY
arts_command,9301850,Formal Portrait: Mordred,0.50,0.16
buster_command,9307770,Celebration Portrait: Mordred,0.50,0.20
quick_command,9310900,Heroic Spirit Stellar Journey: Mordred,0.50,0.18
chispa_de_clarent,9408620,Dance of the Thunder God,0.50,0.12
defend,9301850,Formal Portrait: Mordred,0.50,0.16
lower_the_visor,9401550,True Samadhi Fire,0.50,0.10
insolent_guard,9307770,Celebration Portrait: Mordred,0.50,0.20
knights_steadfastness,9808850,Phantasma - Mordred Photo Collection,0.50,0.12
sparks_of_the_helm,9401550,True Samadhi Fire,0.50,0.30
tournament_footwork,9310900,Heroic Spirit Stellar Journey: Mordred,0.50,0.18
dented_helm,9401550,True Samadhi Fire,0.50,0.50
dragons_blood,9401550,True Samadhi Fire,0.50,0.20
secret_of_pedigree_e_x,9304250,Festival Portrait: Mordred,0.50,0.16
tournament_guard,9808850,Phantasma - Mordred Photo Collection,0.50,0.35
