file,assetId,officialName,cropX,cropY
dragonblood_surge,9400180,Dragon's Meridian,0.50,0.28
gleaming_scales,9303640,Scale of the Stars,0.50,0.86
piercing_glare,9306930,Dream Portrait: Siegfried,0.50,0.05
scale_bulwark,9302720,Dragon Scale Guard,0.50,0.10
wyrmskin_guard,9400200,Dragonkin,0.50,0.28
draconic_rampart,9406610,Raging Dragon's Lair,0.50,0.32
scale_eruption,9300050,Memories of the Dragon,0.50,0.38
scale_storm,9408310,Hunting Dragons,0.50,0.36
wyrmslayer_gaze,9401270,Prince of Slayer,0.50,0.78
balmung_unleashed,9304410,Balmung,0.50,0.28
conviction_charge,9300980,Knight's Dignity,0.50,0.28
conviction_scales,9302720,Dragon Scale Guard,0.50,0.28
defend,9302860,Divine Iron Shield,0.50,0.28
strike,9302880,Dragonblood Cut,0.50,0.28
