kind,name,source
power,sake_power,fruity_wine_aroma
power,style_history_power,one_saint_graph_two_outfits
power,dual_np_manifested_power,one_saint_graph_two_outfits
power,presence_concealment_used_power,presence_less_step
power,presence_concealment_power,presence_concealment_c
power,sake_turn_progress_power,spilled_wine
power,poisoned_table_power,poisoned_table
power,next_poison_amplifier_power,last_drop
power,dragon_god_daughter_uses_power,daughter_of_the_dragon_god
power,dragon_god_daughter_power,daughter_of_the_dragon_god
power,arts_buster_reinforcement_power,arts_buster_reinforcement
power,divine_protection_breaker_power,break_divine_protection
power,arts_buster_reinforcement_arts_used_power,arts_buster_reinforcement
power,arts_buster_reinforcement_buster_used_power,arts_buster_reinforcement
power,divine_protection_breaker_used_power,break_divine_protection
power,assassin_played_this_turn_power,presence_concealment_c
power,fruity_aroma_ex_used_power,fruity_aroma_ex
power,orochi_blood_used_power,orochi_blood
power,goho_oni_used_power,goho_oni
power,full_power_magical_girl_used_power,magical_girl_at_full_power
power,two_outfits_used_power,one_saint_graph_two_outfits
power,mount_ooe_banquet_power,mount_ooe_banquet
power,fruity_aroma_ex_power,fruity_aroma_ex
power,orochi_blood_power,orochi_blood
power,haku_white_familiar_power,haku_white_familiar
power,goho_oni_power,goho_oni
power,full_power_magical_girl_power,magical_girl_at_full_power
power,one_saint_graph_two_outfits_power,one_saint_graph_two_outfits
power,banquet_never_ends_power,banquet_never_ends
power,mount_ooe_kanzashi_used_power,daughter_of_the_dragon_god
power,haku_bell_used_power,haku_warning
power,poisoned_cup_used_power,poisoned_banquet
power,red_dragon_ulna_used_power,orochi_blood
power,kuzuryu_fragment_used_power,nine_heads_of_the_dragon
power,antiquities_treasure_chosen_power,antiquities_collection
power,oni_head_guts_power,headless_oni
power,kuzuryu_fragment_attack_power,nine_heads_of_the_dragon
relic,scarlet_gourd,fruity_wine_aroma
relic,inexhaustible_gourd,fruity_wine_aroma_a_plus
relic,banquet_oath,mount_ooe_banquet
relic,severed_head_memory,severed_head
relic,kuzuryu_chalice,nine_heads_of_the_dragon
relic,mount_ooe_kanzashi,daughter_of_the_dragon_god
relic,haku_bell,haku_warning
relic,poisoned_cup,poisoned_banquet
relic,red_dragon_ulna,orochi_blood
relic,oni_head,headless_oni
relic,kuzuryu_fragment,nine_heads_of_the_dragon
relic,antiquities_treasure,antiquities_collection
