file,artist,title,year,artist_died,commons_file,license
queens_mandate,Edmund Blair Leighton,The Accolade,1901,1922,File:Edmund blair leighton accolade.jpg,Public Domain (autor +70)
queens_scorn,Frank Dicksee,La Belle Dame sans Merci,1901,1928,"File:Dicksee Frank, La Belle Dame Sans Merci.jpg",Public Domain (autor +70)
queens_gaze,John William Waterhouse,Circe Offering the Cup to Ulysses,1891,1917,File:Circe Offering the Cup to Odysseus.jpg,Public Domain (autor +70)
queens_fury,Frederick Sandys,Morgan le Fay,1864,1904,File:Frederick Sandys - Morgan-le-Fay - 1925P104 - Birmingham Museum and Art Gallery.jpg,Public Domain (autor +70)
fairy_of_the_rainland,Edward Robert Hughes,Midsummer Eve,1908,1908,File:Edward Robert Hughes - Midsummer Eve (1908c).jpg,Public Domain (autor +70)
territory_creation,John William Waterhouse,The Magic Circle,1886,1917,File:John William Waterhouse - Magic Circle.JPG,Public Domain (autor +70)
queens_sentence_unleashed,John Martin,The Great Day of His Wrath,1853,1854,File:John Martin - The Great Day of His Wrath - Google Art Project.jpg,Public Domain (autor +70)
storms_wrath,J.M.W. Turner,Snow Storm: Hannibal and his Army Crossing the Alps,1812,1851,"File:Joseph Mallord William Turner - Snow Storm, Hannibal and his Army Crossing the Alps - WGA23167.jpg",Public Domain (autor +70)
madness_enhancement,Henry Fuseli,The Nightmare,1781,1825,"File:Henry Fuseli (1741–1825), The Nightmare, 1781.jpg",Public Domain (autor +70)
albions_breath,William Blake,The Great Red Dragon and the Woman Clothed with the Sun,1805,1827,File:William Blake - The Great Red Dragon and the Woman Clothed with the Sun - Google Art Project.jpg,Public Domain (autor +70)
mist_veil,Caspar David Friedrich,Wanderer above the Sea of Fog,1818,1840,File:Caspar David Friedrich - Wanderer above the sea of fog.jpg,Public Domain (autor +70)
hailstorm_wall,Caspar David Friedrich,The Sea of Ice,1824,1840,File:Caspar David Friedrich - Das Eismeer - Hamburger Kunsthalle - 02.jpg,Public Domain (autor +70)
perpetual_winter,Caspar David Friedrich,The Abbey in the Oakwood,1810,1840,File:The Abbey in the Oakwood by Caspar David Friedrich.jpg,Public Domain (autor +70)
saviors_tears,James Archer,The Death of King Arthur,1860,1904,File:The Death of King Arthur by James Archer (1860).jpg,Public Domain (autor +70)
from_the_worlds_end,Edward Burne-Jones,The Last Sleep of Arthur in Avalon,1898,1898,File:Burne-Jones Last Sleep of Arthur in Avalon v2.jpg,Public Domain (autor +70)
call_of_the_fairy_knights,John Duncan,The Riders of the Sidhe,1911,1945,File:Riders of th Sidhe (big).jpg,Public Domain (autor +70)
wild_hunt_charge,Joseph Noel Paton,The Fairy Raid: Carrying Off a Changeling,1867,1901,"File:Joseph Noel Paton (1821-1901) - The Fairy Raid, Carrying Off a Changeling, Midsummer Eve - 3234 - Kelvingrove Art Gallery and Museum.jpg",Public Domain (autor +70)
item_construction,Evelyn De Morgan,The Love Potion,1903,1919,File:Evelyn De Morgan - The Love Potion (1903) - Google Cultural Institute.jpg,Public Domain (autor +70)
curse_harvest,Frederick Sandys,Medea,1868,1904,File:Medea - Frederick Sandys - Google Cultural Institute.jpg,Public Domain (autor +70)
embrace_of_the_lake,Frederick Sandys,Vivien,1863,1904,File:Anthony Frederick Augustus Sandys - Vivien - 1863.jpeg,Public Domain (autor +70)
mirror_strike,William Holman Hunt,The Lady of Shalott,1905,1910,"File:The Lady of Shalott by William Holman Hunt, c. 1890-1905, oil on canvas - Wadsworth Atheneum - Hartford, CT - DSC05541.jpg",Public Domain (autor +70)
last_resort,George Frederic Watts,Hope,1886,1904,File:Assistants and George Frederic Watts - Hope - Google Art Project.jpg,Public Domain (autor +70)
winter_court,Joseph Noel Paton,The Quarrel of Oberon and Titania,1849,1901,File:Sir Joseph Noel Paton - The Quarrel of Oberon and Titania - Google Art Project 2.jpg,Public Domain (autor +70)
