"Project","Card","Result","Form","Action","AssetId","OfficialName","Backdrop"
"ArtoriaCaster","around_caliburn","official mapped artwork","avalon","cast","9403270","A Tale of Love and Hope","assets\reference\ce\art\9403270.png"
"ArtoriaCaster","around_caliburn_unleashed","official mapped artwork","avalon","attack","9403270","A Tale of Love and Hope","assets\reference\ce\art\9403270.png"
"ArtoriaCaster","arts_artoria","official command card","","","COMMAND","FGO Command Card",""
"ArtoriaCaster","avalon_benediction","official mapped artwork","avalon","idle","9808560","Sweet Bouquet Avalon","assets\reference\ce\art\9808560.png"
"ArtoriaCaster","avalon_consecration","official mapped artwork","avalon","cast","9808560","Sweet Bouquet Avalon","assets\reference\ce\art\9808560.png"
"ArtoriaCaster","avalon_core","official mapped artwork","avalon","cast","9301550","The Tower of Avalon","assets\reference\ce\art\9301550.png"
"ArtoriaCaster","avalon_veil","official mapped artwork","avalon","cast","9404980","White Garden","assets\reference\ce\art\9404980.png"
"ArtoriaCaster","buster_artoria","official command card","","","COMMAND","FGO Command Card",""
"ArtoriaCaster","caliburn_projection","official mapped artwork","avalon","attack","9401620","Jeweled Sword Zelretch","assets\reference\ce\art\9401620.png"
"ArtoriaCaster","caliburn_star","official mapped artwork","avalon","attack","9404830","Twinkling Stars","assets\reference\ce\art\9404830.png"
"ArtoriaCaster","charisma_of_hope","official mapped artwork","caster","cast","9300450","Star of Prophecy","assets\reference\ce\art\9300450.png"
"ArtoriaCaster","clear_the_storm","official mapped artwork","caster","cast","9408720","Stormy Night","assets\reference\ce\art\9408720.png"
"ArtoriaCaster","counter_blade","official mapped artwork","caster","attack","9401650","Hidden Sword: Pheasant Reversal","assets\reference\ce\art\9401650.png"
"ArtoriaCaster","critical_spark","official mapped artwork","caster","attack","9408790","A Hundred Sparkles","assets\reference\ce\art\9408790.png"
"ArtoriaCaster","defend_artoria","official mapped artwork","caster","cast","9402840","Avalon Celebrates","assets\reference\ce\art\9402840.png"
"ArtoriaCaster","detective_pose","official mapped artwork","caster","cast","9402950","Chaldea Special Investigation Unit","assets\reference\ce\art\9402950.png"
"ArtoriaCaster","faerie_aegis","official mapped artwork","caster","cast","9305580","Aurora","assets\reference\ce\art\9305580.png"
"ArtoriaCaster","faerie_chant","official mapped artwork","caster","cast","9808690","Chocolate Faerie Britain","assets\reference\ce\art\9808690.png"
"ArtoriaCaster","faerie_chorus","official mapped artwork","caster","cast","9401180","Chorus","assets\reference\ce\art\9401180.png"
"ArtoriaCaster","faerie_eyes","official mapped artwork","caster","idle","9308490","Exhibition Attire: Tam Lin Tristan","assets\reference\ce\art\9308490.png"
"ArtoriaCaster","faerie_gaze","official mapped artwork","caster","cast","9401160","Mystic Eyes of Distortion","assets\reference\ce\art\9401160.png"
"ArtoriaCaster","familiar_rain","official mapped artwork","caster","attack","9808730","Hummingbirds To Open a Secret Room","assets\reference\ce\art\9808730.png"
"ArtoriaCaster","festival_rehearsal","official mapped artwork","berserker","cast","9303950","Festival Portrait: Altria Pendragon","assets\reference\ce\art\9303950.png"
"ArtoriaCaster","festival_secret_plan","official mapped artwork","berserker","cast","9408220","Secret Mission","assets\reference\ce\art\9408220.png"
"ArtoriaCaster","festival_spirit","official mapped artwork","berserker","idle","9402530","Starlight Festival","assets\reference\ce\art\9402530.png"
"ArtoriaCaster","festival_tide","official mapped artwork","berserker","attack","9808880","Tropical Island Festival","assets\reference\ce\art\9808880.png"
"ArtoriaCaster","forced_vacation","official mapped artwork","berserker","cast","9407260","Summer Break","assets\reference\ce\art\9407260.png"
"ArtoriaCaster","forge_stars","official mapped artwork","caster","cast","9404830","Twinkling Stars","assets\reference\ce\art\9404830.png"
"ArtoriaCaster","guardians_counter","official mapped artwork","caster","idle","9402110","Room Guard","assets\reference\ce\art\9402110.png"
"ArtoriaCaster","guardians_execution","official mapped artwork","caster","attack","9309010","Sword of Sin","assets\reference\ce\art\9309010.png"
"ArtoriaCaster","hope_will_camelot","official mapped artwork","avalon","attack","9300450","Star of Prophecy","assets\reference\ce\art\9300450.png"
"ArtoriaCaster","hope_will_camelot_unleashed","official mapped artwork","avalon","attack","9301550","The Tower of Avalon","assets\reference\ce\art\9301550.png"
"ArtoriaCaster","inherited_longing_strike","official mapped artwork","caster","attack","9401600","Bygone Dream","assets\reference\ce\art\9401600.png"
"ArtoriaCaster","lakes_blessing","official mapped artwork","caster","cast","9404550","Honey Lake","assets\reference\ce\art\9404550.png"
"ArtoriaCaster","lakes_protection","official mapped artwork","caster","cast","9406540","Celestial Maidens by the Lake","assets\reference\ce\art\9406540.png"
"ArtoriaCaster","lets_try_it","official mapped artwork","caster","cast","9808770","Chaldea Game Night - Let's Play with Altria","assets\reference\ce\art\9808770.png"
"ArtoriaCaster","light_shield","official mapped artwork","caster","cast","9300250","Radiance of the Goddess","assets\reference\ce\art\9300250.png"
"ArtoriaCaster","meadow_thrust","official mapped artwork","berserker","attack","9404730","Golden Field","assets\reference\ce\art\9404730.png"
"ArtoriaCaster","midsummer_madness","official mapped artwork","berserker","idle","9401550","True Samadhi Fire","assets\reference\ce\art\9401550.png"
"ArtoriaCaster","owls_fang","official mapped artwork","caster","attack","9405300","Ocean Flier","assets\reference\ce\art\9405300.png"
"ArtoriaCaster","pilgrims_step","official mapped artwork","caster","cast","9403140","Distant Pilgrimage","assets\reference\ce\art\9403140.png"
"ArtoriaCaster","promise_under_the_storm","official mapped artwork","caster","cast","9405120","Beyond the Rain Clouds","assets\reference\ce\art\9405120.png"
"ArtoriaCaster","quick_artoria","official command card","","","COMMAND","FGO Command Card",""
"ArtoriaCaster","reckless_charge","official mapped artwork","caster","attack","9307860","Dashing Through Summer","assets\reference\ce\art\9307860.png"
"ArtoriaCaster","sacred_sword_avalanche","official mapped artwork","avalon","attack","9403210","Fang-Sharp Shadow Blade","assets\reference\ce\art\9403210.png"
"ArtoriaCaster","sacred_sword_control","official mapped artwork","avalon","idle","9302530","Pray Upon the Sword, Wish Upon Life","assets\reference\ce\art\9302530.png"
"ArtoriaCaster","sacred_sword_slash","official mapped artwork","avalon","attack","9300940","Indestructible Blade","assets\reference\ce\art\9300940.png"
"ArtoriaCaster","selection_staff_guide","official mapped artwork","caster","cast","9308870","Phantasm Rod: Grace","assets\reference\ce\art\9308870.png"
"ArtoriaCaster","selection_sword_cut","official mapped artwork","caster","attack","9304570","Shining Sword and Disc of the Stars","assets\reference\ce\art\9304570.png"
"ArtoriaCaster","shooting_star","official mapped artwork","caster","attack","9304400","The Shooting Star Cheerleader","assets\reference\ce\art\9304400.png"
"ArtoriaCaster","six_sword_strikes","official mapped artwork","caster","attack","9302740","Inferno Sword","assets\reference\ce\art\9302740.png"
"ArtoriaCaster","song_of_prophecy","official mapped artwork","caster","cast","9300450","Star of Prophecy","assets\reference\ce\art\9300450.png"
"ArtoriaCaster","spell_reloading","official mapped artwork","caster","idle","9401200","Repeat Magic","assets\reference\ce\art\9401200.png"
"ArtoriaCaster","springs_pulse","official mapped artwork","berserker","cast","9300930","Sacred Spring","assets\reference\ce\art\9300930.png"
"ArtoriaCaster","staff_strike","official mapped artwork","caster","attack","9307040","Shi Jin the Nine-Section Staff","assets\reference\ce\art\9307040.png"
"ArtoriaCaster","staffs_rebuke","official mapped artwork","caster","attack","9805720","Druid's Staff","assets\reference\ce\art\9805720.png"
"ArtoriaCaster","staffs_voice","official mapped artwork","berserker","cast","9300150","The Staff He Gave Me","assets\reference\ce\art\9300150.png"
"ArtoriaCaster","star_tide","official mapped artwork","caster","cast","9306240","May the Stars Align","assets\reference\ce\art\9306240.png"
"ArtoriaCaster","stars_judgment","official mapped artwork","caster","attack","9300010","Crown of the Star","assets\reference\ce\art\9300010.png"
"ArtoriaCaster","strike_artoria","official mapped artwork","caster","attack","9307040","Shi Jin the Nine-Section Staff","assets\reference\ce\art\9307040.png"
"ArtoriaCaster","summer_comet","official mapped artwork","berserker","attack","9407410","Highway Meteor Shower","assets\reference\ce\art\9407410.png"
