"Project","Kind","Asset","OfficialSource","Url"
"GilgameshArcher","Power","arms_played_power","Collector EX / Treasury of Babylon EX","https://static.atlasacademy.io/JP/SkillIcons/skill_00311.png"
"GilgameshArcher","Power","cards_this_turn_power","Collector EX / Treasury of Babylon EX","https://static.atlasacademy.io/JP/SkillIcons/skill_00311.png"
"GilgameshArcher","Power","divinity_power","Gilgamesh ascension face 3","https://static.atlasacademy.io/JP/Faces/f_2002002.png"
"GilgameshArcher","Power","enuma_manifested_power","Enuma Elish command card","https://static.atlasacademy.io/JP/Servants/Commands/200200/card_servant_np.png"
"GilgameshArcher","Power","golden_arrogance_power","Golden Rule A","https://static.atlasacademy.io/JP/SkillIcons/skill_00602.png"
"GilgameshArcher","Power","independent_action_power","Charisma A+ / He Who Saw the Deep EX","https://static.atlasacademy.io/JP/SkillIcons/skill_00300.png"
"GilgameshArcher","Power","kings_arrogance_power","Charisma A+ / He Who Saw the Deep EX","https://static.atlasacademy.io/JP/SkillIcons/skill_00300.png"
"GilgameshArcher","Power","recital_of_creation_power","Enuma Elish command card","https://static.atlasacademy.io/JP/Servants/Commands/200200/card_servant_np.png"
"GilgameshArcher","Power","throne_of_the_onlooker_power","Gilgamesh final ascension face","https://static.atlasacademy.io/JP/Faces/f_2002003.png"
"GilgameshArcher","Power","treasure_power","Collector EX / Treasury of Babylon EX","https://static.atlasacademy.io/JP/SkillIcons/skill_00311.png"
"GilgameshArcher","Relic","bab_ilu","Key of the King's Law bond CE","https://static.atlasacademy.io/JP/EquipFaces/f_93002100.png"
"GilgameshArcher","Relic","catalog_of_the_royal_treasury","Collector EX / Treasury of Babylon EX","https://static.atlasacademy.io/JP/SkillIcons/skill_00311.png"
"GilgameshArcher","Relic","kings_wine_cup","Lapis Lazuli Bracelet Valentine CE","https://static.atlasacademy.io/JP/EquipFaces/f_98051200.png"
"GilgameshArcher","Relic","magic_resistance_amulet","Gilgamesh ascension face 1","https://static.atlasacademy.io/JP/Faces/f_2002000.png"
"GilgameshArcher","Relic","mantle_of_arrogance","Gilgamesh final ascension face","https://static.atlasacademy.io/JP/Faces/f_2002003.png"
"GilgameshArcher","Relic","oath_of_uruk","Key of the King's Law bond CE","https://static.atlasacademy.io/JP/EquipFaces/f_93002100.png"
"GilgameshArcher","Relic","the_original_chalice","Key of the King's Law bond CE","https://static.atlasacademy.io/JP/EquipFaces/f_93002100.png"
"GilgameshArcher","Relic","vimana_golden_throne","Enuma Elish command card","https://static.atlasacademy.io/JP/Servants/Commands/200200/card_servant_np.png"
"MashShielder","Power","lord_camelot_charge_power","Lord Camelot command card","https://static.atlasacademy.io/JP/Servants/Commands/800100/card_servant_np1.png"
"MashShielder","Relic","a_team_diary","Chaldea Home Sweet Home Valentine CE","https://static.atlasacademy.io/JP/EquipFaces/f_98098600.png"
"MashShielder","Relic","spare_glasses","Mash Kyrielight ascension face 1","https://static.atlasacademy.io/JP/Faces/f_8001000.png"
"MordredSaber","Power","accumulated_hatred_power","Mordred final ascension face","https://static.atlasacademy.io/JP/Faces/f_1009003.png"
"MordredSaber","Power","ambition_for_throne_power","Secret of Pedigree EX","https://static.atlasacademy.io/JP/SkillIcons/skill_00400.png"
"MordredSaber","Power","banner_of_rebellion_power","Who Am I? bond CE","https://static.atlasacademy.io/JP/EquipFaces/f_93005100.png"
"MordredSaber","Power","camlann_guts_power","Mordred final ascension face","https://static.atlasacademy.io/JP/Faces/f_1009003.png"
"MordredSaber","Power","cigarette_lion_power","Cigarette Lion B+","https://static.atlasacademy.io/JP/SkillIcons/skill_00308.png"
"MordredSaber","Power","clarent_manifested_power","Clarent Blood Arthur command card","https://static.atlasacademy.io/JP/Servants/Commands/100900/card_servant_np.png"
"MordredSaber","Power","crimson_lightning_form_power","Mordred final ascension face","https://static.atlasacademy.io/JP/Faces/f_1009003.png"
"MordredSaber","Power","crit_consumed_this_turn_power","Intuition B","https://static.atlasacademy.io/JP/SkillIcons/skill_00603.png"
"MordredSaber","Power","crown_of_lightning_power","Mana Burst A / Knight of Red Lightning A+","https://static.atlasacademy.io/JP/SkillIcons/skill_00306.png"
"MordredSaber","Power","double_edge_of_hatred_power","Mordred final ascension face","https://static.atlasacademy.io/JP/Faces/f_1009003.png"
"MordredSaber","Power","dragons_blood_power","Mana Burst A / Knight of Red Lightning A+","https://static.atlasacademy.io/JP/SkillIcons/skill_00306.png"
"MordredSaber","Power","homunculus_acceleration_power","Intuition B","https://static.atlasacademy.io/JP/SkillIcons/skill_00603.png"
"MordredSaber","Power","knight_of_red_lightning_power","Mana Burst A / Knight of Red Lightning A+","https://static.atlasacademy.io/JP/SkillIcons/skill_00306.png"
"MordredSaber","Power","lightning_visit_return_power","Mana Burst A / Knight of Red Lightning A+","https://static.atlasacademy.io/JP/SkillIcons/skill_00306.png"
"MordredSaber","Power","masked_knight_form_power","Mordred ascension face 1","https://static.atlasacademy.io/JP/Faces/f_1009000.png"
"MordredSaber","Power","memory_of_trifas_power","Who Am I? bond CE","https://static.atlasacademy.io/JP/EquipFaces/f_93005100.png"
"MordredSaber","Power","rebellion_form_power","Mordred ascension face 3","https://static.atlasacademy.io/JP/Faces/f_1009002.png"
